证券代码,证券简称,机构名称,证券类别,上市日期,上市地点,正常上市,摘牌日期,ISIN代码,英文名称,英文简称,成立日期,注册资本,法定代表人,主营业务,经营范围,公司简介,省份,城市,注册地址,办公地址,邮编,公司电话,公司传真,公司电子邮件地址,公司网站,证监会一级行业名称,证监会二级行业名称,申万行业一级名称,申万行业二级名称,申万行业三级名称,董事长,独立董事,总经理,董事会秘书,董秘电话,董秘传真,董秘邮箱,证券事务代表,会计师事务所,律师事务所
600000,浦发银行,上海浦东发展银行股份有限公司,A股,1999-11-10,上交所,正常上市,,CNE0000011B7,"Shanghai Pudong Development Bank Co., Ltd.",Pudong Development Bank,1992-10-19,2935213.4127,郑杨,金融与信托投资业务。,（一）吸收公众存款；（二）发放短期、中期和长期贷款；（三）办理结算；（四）办理票据贴现；（五）发行金融债券；（六）代理发行、代理兑付、承销政府债券，买卖政府债券；（七）同业拆借；（八）提供信用证服务及担保；（九）代理收付款项及代理保险业务；（十）提供保管箱服务；（十一）外汇存款、外汇贷款、外汇汇款、外币兑换；（十二）国际结算；（十三）同业外汇拆借；（十四）外汇票据的承兑和贴现；（十五）外汇借款、外汇担保；（十六）结汇、售汇；（十七）买卖和代理买卖股票以外的外币有价证券；（十八）自营和代客外汇买卖；（十九）从事银行卡业务；（二十）资信调查、咨询、见证业务；（二十一）离岸银行业务；（二十二）经批准的其它业务。,本行是经中国人民银行银复(1992)350号文批准，1992年10月由上海市财政局、上海国际信托投资公司、上海久事公司、申能股份有限公司、宝山钢铁总厂、上海汽车工业总公司、上菱冰箱总厂、上海航空公司、中纺机股份有限公司、闵行联合发展有限公司、锦江(集团)联营公司、陆家嘴金融贸易区开发公司、外高桥保税区联合发展有限公司、上海石油化工总厂、金桥出口加工区开发公司、上海申实公司、上海市第一百货商店股份有限公司、上海铁路局等18家单位作为发起人，以定向募集方式设立的股份制商业银行。本行于1992年10月19日登记成立，1993年1月9日正式开业，注册资本金为10亿元人民币。1996年本行第一届董事会第九次会议通过增资扩股10亿元人民币的决议，1997年本行遵照人民银行的要求，按照《公司法》、《商业银行法》、《关于向金融机构投资入股的暂行规定》等法规规定的程序及股东资格条件进行了增资扩股工作。1997年中国人民银行以银复[1997]368号文《关于核准上海浦东发展银行注册资本的批复》，核准本行注册资本金由10亿元人民币增加至20.1亿元人民币。1992年10月由上海市财政局、上海国际信托投资公司、上海久事公司、申能股份有限公司、宝山钢铁总厂、上海汽车工业总公司、上菱冰箱总厂、上海航空公司、中纺机股份有限公司、闵行联合发展有限公司、锦江(集团)联营公司、陆家嘴金融贸易区开发公司、外高桥保税区联合发展有限公司、上海石油化工总厂、金桥出口加工区开发公司、上海申实公司、上海市第一百货商店股份有限公司、上海铁路局等18家单位作为发起人，以定向募集方式设立的股份制商业银行。于1992年10月19日登记成立，1993年1月9日正式开业，注册资本金为10亿元人民币。1997年注册资本金由10亿元人民币增加至20.1亿元人民币。经1999年9月23日发行公众股40000万股（其中向投资基金配售8000万股）后，公司总股本达241000万股。其公众股32000万股于1999年11月10日在上交所上市交易。,上海,上海市,上海市中山东一路12号,上海市中山东一路12号,200002,021-63611226,021-63230807,bdo@spdb.com.cn,www.spdb.com.cn,金融业,货币金融服务,银行,银行,银行,郑杨,"蔡洪平,张鸣,袁志刚,王喆,吴弘",潘卫东,谢伟,021-63611226,021-63230807,Shens2@spdb.com.cn,李光明、吴蓉,毕马威华振会计师事务所(特殊普通合伙),联合律师事务所
600004,白云机场,广州白云国际机场股份有限公司,A股,2003-04-28,上交所,正常上市,,CNE000001DX0,Guangzhou Baiyun International Airport Company Limited,Baiyun Airport,2000-09-19,236671.8283,邱嘉臣,以航空地面客货过港服务为主业，以与航空主业相关的延伸服务为辅助，形成以客货过港为主线，配合客货代理、航空配餐、场所出租、住宿餐饮、广告、商贸等业务的立体服务系统。,旅客过港服务；与航空运输有关的地面服务、交通运输和仓储服务；航空设施使用服务；提供航空营业场所；航空器维修（凭资质证书经营）；航空代理、航空保险销售代理业务；航空运输技术协作中介服务；行李封包业务；航空应急救援服务；航空信息咨询服务；航空运输业务有关的延伸服务；普通货物运输；代办报关手续服务；场地出租；展览展示服务；销售百货；销售纺织、服装及日用品；销售文化、体育用品及器材；销售食品、饮料及烟草制品；销售家用电器及电子产品；互联网零售；污水处理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,公司经民航总局民航政法函638号文和国家经贸委国经贸企改〖2000〗826号文批准，由机场集团作为主发起人，以其所属的航空地面服务主业的优质经营性净资产，与中国国际航空公司、中国民航机场建设总公司、新机场公司及广州交通投资有限公司共同发起设立。公司的注册资本总额为人民币60，000万元，每股面值人民币1元，总股本为60，000万股，股权性质全部界定为国有法人股。,广东,广州市,广东省广州白云国际机场南工作区自编一号,广东省广州白云国际机场南区股份公司机关办公大楼,510470,020-36063595,020-36063416,600004@gdairport.com,www.baiyunport.com,交通运输、仓储和邮政业,航空运输业,交通运输,机场,机场,邱嘉臣,"覃章高,邢益强",王晓勇,戚耀明,020-36063595,020-36063416,600004@gdairport.com,董新玲,立信会计师事务所(特殊普通合伙),竞天公诚律师事务所
600006,东风汽车,东风汽车股份有限公司,A股,1999-07-27,上交所,正常上市,,CNE000000ZT3,"Dongfeng Automobile Co., Ltd.",Dongfeng Automobile,1999-07-21,200000.0,赵书良,开发、设计、生产销售汽车、汽车发动机及其零部件、铸件。,主营：开发、设计、生产、销售汽车、汽车发动机及其零部件、铸件；兼营：汽车修理，机械加工及技术咨询服务。,公司是由东风汽车公司公司独家发起，以募集方式于1999年7月15日设立的股份有限公司。发起人投入公司的净资产按1:0.86531的比例折为70，000万股国有法人股，经1999年6月28日发行30000万股（其中向证券投资基金配售5225万股）后，公司总股本达100000万股。其公众股30000万股于1999年7月27日在上交所上市交易。,湖北,襄阳市,湖北省襄阳市高新区东风汽车大道劲风路3幢,湖北省武汉市经济技术开发区创业路58号,430056,027-84287988,027-84287977,dfac@dfac.com,www.dfac.com,制造业,汽车制造业,汽车,汽车整车,商用载货车,赵书良,"秦志华,张国明,张敦力",李军智,张斌,027-84287977,027-84287988,zhangxinfeng@dfac.com,熊思平,普华永道中天会计师事务所(特殊普通合伙),通商律师事务所
600007,中国国贸,中国国际贸易中心股份有限公司,A股,1999-03-12,上交所,正常上市,,CNE000000YH1,"China World Trade Center Co., Ltd.",China World Trade,1997-10-15,100728.2534,林明志,开展旅游、商务服务设施的经营与管理。,写字楼、宾馆、公寓、商场、展览厅、会议厅、停车场的出租、服务；提供住宿、餐饮、幼儿园、文体服务；房地产开发与经营；物业管理；承办会议、展览、展销；对外经贸信息咨询；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；酒吧，烟草专卖零售，销售预包装食品，美容美发，洗浴（桑拿按摩、水疗），健身房，游泳池，零售商品部，图书、期刊、报纸的零售，商务中心；广告设计、制作、代理、发布；酒店附属商场及房屋场地出租或经营（办公用房或商务用房）；酒类的零售；零售日用品、服装、工艺美术品；体育运动项目经营（以工商登记管理机关核定为准）。,公司系由国贸中心于1997年10月15日独家发起设立的股份有限公司，发起人将其主要经营性净资产按评估价4879088800元折为法人股317141万股注入，1998年9月1日，公司临时股东大会决定对公司进行资产重组，将公司部分资产和负债转回国贸中心，并通过法定减资程序将国贸中心持有的253141万股注销，注销后，公司总股本变更为64000万股，1998年9月24日公司完成变更登记手续。经1999年1月27日发行公众股16000万股后，公司总股本达80000万股。其公众股16000万股于1999年3月12日在上交所上市交易。(其中向投资基金配售的650万股于本次公众股上市二个月后上市流通)。,北京,北京市,北京市建国门外大街一号,北京市建国门外大街一号,100004,010-65052288,010-65053862,cwtc@cwtc.com,www.cwtc.com,房地产业,房地产业,房地产,房地产开发,房地产开发,林明志,"李朝鲜,吴积民,尹锦滔,郝敬华",吴相仁,王京京,010-65052288,010-65053862,dongmi@cwtc.com,骆洋喆、廖哲、张丽滨、章侃,普华永道中天会计师事务所（特殊普通合伙）,通商律师事务所
600008,首创股份,北京首创股份有限公司,A股,2000-04-27,上交所,正常上市,,CNE000001295,"Beijing Capital Co., Ltd.",Beijing Capital,1999-08-31,734059.0677,刘永政,公用基础设施的投资及管理；高科技产品的技术开发等。,公用基础设施的投资及投资管理；高科技产品的技术开发、技术咨询、技术转让、技术服务、技术培训；销售自行开发后的产品；房地产项目开发，销售商品房；物业管理；投资咨询；销售百货、五金交电、副食品、包装食品、饮料、家具、工艺美术品、节能设备、电子产品、建筑材料；住宿，中餐、西餐，零售酒、进口卷烟、国产卷烟、雪茄烟，美容美发（仅限新大都饭店经营）；零售烟（仅限新大都商品部经营）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,公司系由北京首都创业集团作为主发起人，联合北京市国有资产经营公司、北京市综合投资公司、北京旅游集团有限责任公司、北京国际电力开发投资公司四家企业共同发起设立的股份有限公司。其中北京首都创业集团以净资产出资，折股为79，856.42万股国有法人股；其他四家发起人分别以现金出资，各折股为35.895万股国有法人股。经2000年4月5日至14日向社会公众公开发行人民币普通股30，000万股后，公司总股本已达110，000万股。,北京,北京市,北京市西城区车公庄大街21号39幢16层,北京市西城区车公庄大街21号2号楼,100044,010-68356169,010-68356197,master@capitalwater.cn,www.capitalwater.cn,电力、热力、燃气及水生产和供应业,水的生产和供应业,公用事业,水务,水务,刘永政,"孟焰,车丕照,曲久辉,刘俏",杨斌,邵丽,010-68356169,010-68356197,securities@capitalwater.cn,官念,致同会计师事务所(特殊普通合伙),通商律师事务所
600009,上海机场,上海国际机场股份有限公司,A股,1998-02-18,上交所,正常上市,,CNE000000V89,"Shanghai International Airport Co., Ltd.",Shanghai Airport,1998-02-11,192695.8448,莘澍钧,机场建设、施工、运营管理和与国内外航空运输有关的地面服务。,为国内外航空运输企业及旅客提供地面保障服务，经营出租机场内航空营业场所、商业场所和办公场所，国内贸易（除专项规定）；广告经营，货运代理、代理报关、代理报检业务，长途客运站，停车场管理及停车延伸服务，经营其它与航空运输有关的业务；综合开发，经营国家政策许可的其它投资项目。,公司系由上海机场控股(集团)公司于1998年2月份独家发起设立始以发起人净资产折为国家股60000万股，经1998年1月15日发行后，上市时总股本达90000万股，其内部职工股3000万股将于公众股27000万股1998年2月18日在上交所上市交易期满半年后上市。,上海,上海市,上海市浦东新区启航路900号,上海市浦东新区启航路900号,201207,021-68341609,021-68341615,ir@shairport.com,www.shairport.com,交通运输、仓储和邮政业,航空运输业,交通运输,机场,机场,莘澍钧,"李颖琦,何万篷,尤建新",胡稚鸿,黄晔,021-68341609,021-68341615,ir@shairport.com,苏骏青,立信会计师事务所（特殊普通合伙）,竞天公诚律师事务所
600010,包钢股份,内蒙古包钢钢联股份有限公司,A股,2001-03-09,上交所,正常上市,,CNE0000017H1,"Inner Mongolia Baotou Steel Union Co., Ltd.",Baotou Steel,1999-06-29,4558503.2648,李德刚,生产、销售黑色金属、钢铁制品及其压延加工产品,生产、销售：黑色金属及其延压加工产品、冶金机械、设备及配件，焦炭及焦化副产品（化工）生产和销售、冶金的投资、黑色金属冶炼、工业用氧、工业用氮、工业氢、纯氩、压缩空气、蒸汽、城市煤气经营、钢铁产品采购、耐火材料技术转让和施工服务、废钢铁加工、采购和销售、钢铁生产技术咨询、专有管理技术（高炉无料钟炉顶布料器等）、电力设备的施工、维护和检修以及电力技术服务，铁路运输及铁路设备的安装、检修和维护；测量设备的制造、安装、维护与检定；工业控制计算机软件编程、安装与调试；无损检测；工业用水；仓储（不含危险品）；进出口贸易，铁矿采选，工业厂房、设备租赁；稀土精矿生产销售、萤石矿生产销售、铌精矿生产销售、硫精矿生产销售；有色金属、铁合金、铁矿石（铁精矿）、焦煤、焦炭的贸易。（法律、行政法规、国务院决定规定应经许可的，未获许可不得生产经营；公司变更后的经营范围以政府相关管理部门最终核准登记的为准。）,公司系由包头钢铁（集团）有限责任公司作为主要发起人，将其拥有的轧钢系统生产主体单位（包括轨梁、无缝、线材、带钢四个分厂）的经营性净资产经评估作价后投入股份公司，同时联合西山煤电（集团）有限公司、中国第一重型机械集团公司、中国钢铁炉料华北公司、包头市鑫垣机械制造有限公司等四家发起人于1999年6月29日共同发起设立的股份有限公司。设立时公司总股本为90000万股。经2001年2月14日向社会公众公开发行人民币的普通股35000万股后，公司总股本已达125000万股。,内蒙古,包头市,内蒙古自治区包头市昆区河西工业区,内蒙古自治区包头市昆区包钢厂区信息大楼东副楼三楼,014010,0472-2669530,0472-2669528,bisc@sohu.com,www.baoganggf.com,制造业,黑色金属冶炼和压延加工业,钢铁,钢铁,普钢,李德刚,"程名望,魏喆妍,吴振平,董方,孙浩",李晓,白宝生,0472-2669515,0472-2669528,glgfzqb@126.com,何丽,致同会计师事务所(特殊普通合伙),包头市建中律师事务所
600011,华能国际,华能国际电力股份有限公司,A股,2001-12-06,上交所,正常上市,,CNE000001998,"Huaneng Power International, Inc.",Huaneng Power,1994-06-30,1569809.3359,赵克宇,投资、建设、经营管理电厂；开发、投资、经营以出口为主的其他相关企业。,投资建设、经营管理电厂及开发、投资、经营与电厂有关的以出口为主的其他相关企业；热力生产及销售；电力生产及销售。,公司于1994年6月30日在北京注册成立。同年10月，公司发行外资股12.5亿股，并以3，125万股美国存托股为代表在美国纽约证券交易所上市。1997年公司在境外发行面值为2.3亿美元、票面利率1.75％、期限为七年的可转换债券。1998年3月，公司增发2.5亿股外资股并以相同价格向华能国电定向配售4亿股内资股。至此，公司总股本增加至56.5亿股，其中内资股（法人股）41.5亿股，占总股本的73.45％；外资股15亿股，占总股本的26.55％。,北京,北京市,北京市西城区复兴门内大街6号华能大厦,北京市西城区复兴门内大街6号华能大厦,100031,010-63226999,010-63226888,zqb@hpi.com.cn,www.hpi.com.cn、www.hpi-ir.com.hk,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,公用事业,电力,火电,赵克宇,"徐孟洲,徐海峰,张先治,夏清,刘吉臻",赵平,黄朝全,010-63226999,010-63226888,gbq@hpi.com.cn,孟晶,安永华明会计师事务所(特殊普通合伙),北京海问律师事务所
600012,皖通高速,安徽皖通高速公路股份有限公司,A股,2003-01-07,上交所,正常上市,,CNE000001DC4,Anhui Expressway Company Limited,Anhui Expressway,1996-08-15,165861.0,项小龙,持有、经营及开发安徽省境内外的收费高速公路及公路。,高等级公路设计、建设、监理，收费、养护、施救、路产路权管理，餐饮、修配、仓储、公路运输，公路建设经营咨询服务，房屋租赁，汽车及零配件以及高新技术产品开发、生产、销售。,安徽皖通是由总公司作为独家发起人，经国家体制改革委员会体改生[1996〗112号文批准，以截止1996年4月30日评估确认的与合宁高速相关资产作为出资发起设立的股份有限公司.公司于1996年8月15日在安徽省工商行政管理局登记注册成立。,安徽,合肥市,安徽省合肥市望江西路520号,安徽省合肥市望江西路520号,230088,0551-5338697,0551-5338696,wtgs@anhui-expressway.net,www.anhui-expressway.net,交通运输、仓储和邮政业,道路运输业,交通运输,高速公路,高速公路,项小龙,"刘浩,方芳,章剑平",唐军,董汇慧,0551-5338697,0551-5338696,wtgs@anhui-expressway.net,丁瑜,普华永道中天会计师事务所（特殊普通合伙）,何耀棣律师事务所(境外)、安徽高速律师事务所(境内)
600015,华夏银行,华夏银行股份有限公司,A股,2003-09-12,上交所,正常上市,,CNE000001FW7,"Hua Xia Bank Co., Limited",Hua Xia Bank,1992-10-14,1538722.3983,李民吉,吸收人民币存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项；提供保管箱服务；外汇存款；外汇贷款；外汇汇款等。,（一）吸收公众存款；（二）发放短期、中期和长期贷款；（三）办理国内外结算；（四）办理票据承兑与贴现；（五）发行金融债券；（六）代理发行、代理兑付、承销政府债券；（七）买卖政府债券、金融债券；（八）从事同业拆借；（九）买卖、代理买卖外汇；（十）从事银行卡业务；（十一）提供信用证服务及担保；（十二）代理收付款项及代理保险业务；（十三）提供保管箱服务；（十四）经中国银行业监督管理委员会批准的其他业务。经中国人民银行批准的结汇、售汇业务。,本行是一家全国性股份制商业银行，前身原华夏银行是由中国人民银行批准，于1992年10月14日由首钢总公司独资组建成立的全国性商业银行，注册资本为10亿元人民币，总部设在北京。经中国人民银行批准，由33家法人单位以共同发起方式将原华夏银行改制变更为华夏银行股份有限公司，并于1998年3月18日在国家工商管理局办理了工商登记，股本为人民币25亿元。截至2003年6月30日，本行共有股东29家。,北京,北京市,北京市东城区建国门内大街22号,北京市东城区建国门内大街22号华夏银行大厦,100005,010-66151199-2907,010-66122081,zhdb@hxb.com.cn,www.hxb.com.cn、www.95577.com.cn,金融业,货币金融服务,银行,银行,银行,李民吉,"赵红,郭庆旺,吕文栋,宫志强,丁益",张健华,宋继清,010-85238570、85239938,010-85239605,zhdb@hxb.com.cn,王大为,德勤华永会计师事务所(特殊普通合伙),北京市信利律师事务所
