证券代码,证券简称,机构名称,证券类别,上市日期,上市地点,正常上市,摘牌日期,ISIN代码,英文名称,英文简称,成立日期,注册资本,法定代表人,主营业务,经营范围,公司简介,省份,城市,注册地址,办公地址,邮编,公司电话,公司传真,公司电子邮件地址,公司网站,证监会一级行业名称,证监会二级行业名称,申万行业一级名称,申万行业二级名称,申万行业三级名称,董事长,独立董事,总经理,董事会秘书,董秘电话,董秘传真,董秘邮箱,证券事务代表,会计师事务所,律师事务所
000001,平安银行,平安银行股份有限公司,A股,1991-04-03,深交所主板,正常上市,,CNE000000040,"Ping An Bank Co., Ltd.",Ping An Bank,1987-12-22,1940591.8198,谢永林,办理人民币存、贷、结算、汇兑业务；人民币票据承兑和贴现；各项信托业务；经人民银行批准发行或买卖人民币有价证券；外汇存款、汇款；境内境外借款；在境内境外发行或代理发行外币有价证券外汇存款、汇款、境内境外汇借款等。,（一）吸收公众存款；（二）发放短期、中期和长期贷款；（三）办理国内外结算；（四）办理票据承兑与贴现；（五）发行金融债券；（六）代理发行、代理兑付、承销政府债券；（七）买卖政府债券、金融债券；（八）从事同业拆借；（九）买卖、代理买卖外汇；（十）从事银行卡业务；（十一）提供信用证服务及担保；（十二）代理收付款项及代理保险业务；（十三）提供保管箱服务；（十四）结汇、售汇业务；（十五）离岸银行业务；（十六）资产托管业务；（十七）办理黄金业务；（十八）财务顾问、资信调查、咨询、见证业务；（十九）经有关监管机构批准的其他业务。,"深圳发展银行股份有限公司系在对中华人民共和国深圳经济特区内原6家农村信用社进行股份制改造的基础上设立的股份制商业银行。1987年5月10日以自由认购的形式首次向社会公开发售人民币普通股,于1987年12月22日正式设立。1988年4月7日，本行普通股在深圳经济特区证券公司首家挂牌公开上市。深发展股东大会以及平安银行股份有限公司于2012年2月9日召开的2012年第一次临时股东大会分别审议通过了深发展吸收合并平安银行的方案的议案以及深发展与平安银行签署吸收合并协议的议案。深圳发展银行股份有限公司于2012年2月9日召开的2012年第一次临时股东大会审议通过了《深圳发展银行股份有限公司关于更名的议案》，同意本公司的中文名称由“深圳发展银行股份有限公司”变更为“平安银行股份有限公司”。中国银行业监督管理委员会于2012年4月24日以《中国银监会关于深圳发展银行吸收合并平安银行的批复》（银监复〔2012〕192号）批准了本次吸收合并。2012年7月27日本公司在深圳市市场监督管理局办理完毕相关变更手续，并取得新的《企业法人营业执照》。证券简称自2012年8月2日由“深发展A”变更为“平安银行”。",广东,深圳市,广东省深圳市罗湖区深南东路5047号,广东省深圳市罗湖区深南东路5047号,518001,0755-82080387,0755-82080386,pabdsh@pingan.com.cn,www.bank.pingan.com,金融业,货币金融服务,银行,银行,银行,谢永林,蔡洪滨,胡跃飞,周强,0755-82080387,0755-82080386,pabdsh@pingan.com.cn,吕旭光,普华永道中天会计师事务所（特殊普通合伙）,竞天公诚律师事务所
000002,万  科Ａ,万科企业股份有限公司,A股,1991-01-29,深交所主板,正常上市,,CNE0000000T2,"China Vanke Co., Ltd.",Vanke,1984-05-30,1161773.2201,郁亮,房地产、贸易及零售等。,房地产开发；兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；进出口业务（按深经发审证字第113号外贸企业审定证书规定办理）。,公司前身系深圳现代企业有限公司，1987年11月始进行股份制改组，于次年12月向社会公开发行股票；1988年12月深万科股票在特区证券挂牌；1991年1月29日，在深交所正式上市；1993年4月向境外投资者发行B股，同年5月28日B股上市。,广东,深圳市,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省深圳市盐田区大梅沙环梅路33号万科中心,518083,0755-25606666,0755-25531696,IR@vanke.com,www.vanke.com,房地产业,房地产业,房地产,房地产开发,房地产开发,郁亮,"康典,刘姝威,吴嘉宁,张懿宸",祝九胜,朱旭,0755-25606666,0755-25531696,IR@vanke.com,吉江华,毕马威华振会计师事务所(特殊普通合伙),信达律师事务所
000004,国华网安,深圳国华网安科技股份有限公司,A股,1991-01-14,深交所主板,正常上市,,CNE0000000Y2,"Shenzhen GuoHua Network Security Technology Co., Ltd.",GH-Tech,1986-05-05,16505.2625,黄翔,生物医药及移动互联网游戏业务。,信息传输、软件和信息技术服务；计算机软件、信息系统软件的开发、销售；信息系统设计、集成、运行维护；信息技术咨询；集成电路设计、研发；计算机、软件及辅助设备的销售；自有物业租赁；机械设备租赁（不配备操作人员的机械设备租赁，不包括金融租赁活动）；计算机及通讯设备租赁；企业形象策划；信息咨询（不含限制项目）；经济信息咨询（不含限制项目）；贸易咨询；企业管理咨询（不含限制项目）；商务信息咨询；商业信息咨询；投资兴办实业（具体项目另行申报）；投资咨询（不含限制项目）。,公司前身系招商局蛇口工业汽车运输公司，1989年10月始进行股份制改组，发行法人股750万股、公众股500万股，总股份1250万股；深安达A于1991年1月14日在深交所上市交易。,广东,深圳市,广东省深圳市福田区梅林街道梅都社区中康路126号卓越梅林中心广场（南区）卓悦汇B2206A,广东省深圳市福田区梅林路卓越梅林中心广场（南区）B座2206A,518049,0755-83521596,0755-83521727,gnkjsz@163.com,www.sz000004.cn,信息传输、软件和信息技术服务业,软件和信息技术服务业,医药生物,化学制药,化学制剂,黄翔,仇夏萍,黄翔,黄冰夏,0755-83521596,0755-83521727,gnkjsz@163.com,阮旭里,大华会计师事务所(特殊普通合伙),国浩律师集团（深圳）事务所
000005,世纪星源,深圳世纪星源股份有限公司,A股,1990-12-10,深交所主板,正常上市,,CNE0000001L7,Shenzhen Fountain Corporation,Fountain,1990-02-01,105853.6842,丁芃,交通、清洁能源、水资源基础设施经营性项目的开发投资；低碳技术集成、水处理设备销售和环境处理成套设备销售和环境工程服务；不动产项目、水电项目的开发管理、工程监理和建筑、工程设计服务；酒店经营、物管服务和“智慧空间水管理”的物业管理服务；不动产项目权益投资组合管理和大型工业园区开发投资管理服务。,房地产、酒店、物业管理、商务咨询、顾问、计算机软件开发、投资及其它第三产业。,公司前身系深圳市原野纺织股份有限公司，1988年始进行股份化改组，1990年1月更名为深圳原野股份有限公司，并向社会公开发行2450万股股票，加其原有法人股6550万股，至1990年12月10日上市时，总股份9000万股；1992年7月7日因财务问题调查停牌；1993年重组并更名为现名，1994年1月3日复牌。,广东,深圳市,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,518001,0755-82208888,0755-82207055,fountain@sfc.com.cn,www.fountain.com.cn,水利、环境和公共设施管理业,生态保护和环境治理业,公用事业,环保工程及服务,环保工程及服务,丁芃,"陈吕军,邹蓝,樊勇,王玉涛,翟进步",郑列列,罗晓春,0755-82208888,0755-82207055,xiaochun@sfc.com.cn,潘金秀,中审众环会计师事务所(特殊普通合伙),信利律师事务所
000006,深振业Ａ,深圳市振业(集团)股份有限公司,A股,1992-04-27,深交所主板,正常上市,,CNE000000164,"Shenzhen Zhenye (Group) Co., Ltd.",Shenzhen Zhenye,1989-04-01,134999.5046,赵宏伟,房地产开发与经营。,土地开发、房产销售及租赁、物业管理。本公司主业为房地产开发与经营。,公司前身系深圳市建设(集团)公司开发部，1989年4月始改组为股份有限公司，发行股票69万股，后几经调整，上市时，总股份2531.132万股。,广东,深圳市,广东省深圳市罗湖区宝安南路2014号振业大厦A座31层,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,518057,0755-25863061,0755-25863012,szzygp@126.com,www.zhenye.com,房地产业,房地产业,房地产,房地产开发,房地产开发,赵宏伟,"曲咏海,陈英革,孔祥云",李伟,杜汛,0755-25863061,0755-25863012,szzygp@126.com,罗丽芬,天职国际会计师事务所(特殊普通合伙),广东海埠律师事务所
000007,全新好,深圳市全新好股份有限公司,A股,1992-04-13,深交所主板,正常上市,,CNE0000000P0,"Shenzhen Quanxinhao Co., Ltd.",Quanxinhao,1983-03-11,34644.8044,陆波,酒店业务、物业管理和物业租赁,投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；自有物业租赁；环保产品的技术开发；信息咨询（不含限制项目）；项目投资；矿业投资；矿产品的销售（不含专营、专控、专卖商品），经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；投资金融服务项目并进行投资管理（不得从事证券投资活动；不得以公开方式募集资金开展投资活动；不得从事公开募集基金管理业务）；从事其他投资与投资管理。,公司前身系深圳市达声电子有限公司，1988年11月始进行股份制改组，发行股票300万股，后几经调整，至1992年4月13日上市时，总股份2123.35万股。,广东,深圳市,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,518049,0755-83280053,0755-83280089,stock0007@126.com,,房地产业,房地产业,商业贸易,商业物业经营,一般物业经营,黄国铭,"田进,陈毅龙",陆波,陈伟彬,0755-83280053,0755-83281722,sz000007@126.com,,中兴财光华会计师事务所(特殊普通合伙),广东华商律师事务所
000008,神州高铁,神州高铁技术股份有限公司,A股,1992-05-07,深交所主板,正常上市,,CNE0000001C6,"China High Speed Railway Technology Co., Ltd.",China High-Speed Railway,1989-10-11,278079.5346,王志全,轨道交通运营安全、维护业务。,轨道交通、计算机网络的技术开发、技术咨询、技术转让、技术服务；销售开发后的产品；计算机系统服务；货物进出口；技术进出口；代理进出口；项目投资；物业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）（以工商登记机关核定的为准）,公司系由深圳市食出公司于1989年8月发起设立，同年10月发行面值10元的内部股票117.9145万股，后几经调整，至1992年5月7日上市时，总股份为2376万股；1996年度利润分配方案已经董事会通过。,北京,北京市,北京市海淀区高梁桥斜街59号院1号楼16层1606,北京市海淀区高梁桥斜街59号院1号楼(中坤大厦)16层,100044,010-56500561,010-56500561,houxiaojing@vip.163.com,www.shenzhou-gaotie.com,制造业,铁路、船舶、航空航天和其他运输设备制造业,机械设备,运输设备,铁路设备,王志全,"程小可,张卫华,郜永军",钟岩,侯小婧,010-56500561,010-56500561,dongmi@shenzhou-gaotie.com,侯小婧,大信会计师事务所(特殊普通合伙),北京市天元律师事务所
000009,中国宝安,中国宝安集团股份有限公司,A股,1991-06-25,深交所主板,正常上市,,CNE000000222,"China Baoan Group Co., Ltd.",China Baoan,1990-09-01,257921.3965,陈政立,高新技术产业、生物医药产业、房地产开发经营。,新材料、新能源材料、新能源等高新技术产业项目的投资及经营，现代生物医药项目的投资及经营，房地产开发经营。,公司前身系宝安县联合投资公司，1983年7月改组为股份有限公司，1991年6月更名为深圳市宝安企业(集团)股份有限公司，在原有股份16503万股的基础上，定向募集法人股6000万股，上市时总股份22503万股。,广东,深圳市,广东省深圳市笋岗东路1002号宝安广场A座28-29层,广东省深圳市笋岗东路1002号宝安广场A座28-29层,518020,0755-25170336,0755-25170300、0755-25170367,zgbajt@163.net,www.chinabaoan.com,综合,综合,综合,综合,综合,陈政立,"李瑶,梁发贤,徐志鸿",陈政立,郭山清,0755-25170336,0755-25170300、25170367,loubing@163.net,叶翩翩、张晓明,中审众环会计师事务所(特殊普通合伙),
000010,美丽生态,深圳美丽生态股份有限公司,A股,1995-10-27,深交所主板,正常上市,,CNE000000156,"Shenzhen Ecobeauty Co., Ltd.",Ecobeauty,1989-05-01,81985.4713,陈飞霖,园林绿化。,高新技术项目的开发及相关产品的技术服务，计算机网络系统工程、计算机软、硬件的技术开发、生产（具体项目另行申报）、安装及系统集成，电子技术产品的技术开发、生产，信息咨询服务（以上不含限制项目）；相关产品的销售及其他国内商业、物资供销业（不含专营、专控、专卖商品）；投资兴办实业、高科技项目（具体项目另行申报）。经营深贸管审证字第207号《审定书》规定的进出口项目。研究、开发、种植、销售园林植物；园林环境景观的设计、园林绿化工程和园林维护；销售建筑材料、园林机械设备、体育用品；技术开发；投资与资产管理。,公司成立于1988年，次年5月首次发行面值500元的法人股0.271万股，个人股0.3689万股，1994年4月拆细为每股面值1元；后几经送配股，上市时总股份5236.6608万股。,广东,深圳市,广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座17层1701-1703室,广东省深圳市宝安中心区宝兴路6号海纳百川总部大厦B座1701-1703室,518101,0755-88260216,0755-88260215,IR@eco-beauty.cn,www.eco-beauty.cn,建筑业,土木工程建筑业,建筑装饰,园林工程,园林工程,陈飞霖,"刘伟英,刘民,赵泽辉,徐守浩",周成斌,念保敏,0755-88260216,0755-88260215,IR@eco-beauty.cn,何婷,中勤万信会计师事务所(特殊普通合伙),广东恒通程律师事务所
000011,深物业A,深圳市物业发展(集团)股份有限公司,A股,1992-03-30,深交所主板,正常上市,,CNE000000248,"Shenzhen Properties and Resources Development (Group) Co., Ltd.",Shenzhen Properties,1992-03-16,59597.9092,刘声向,房地产及相关业务。,(一)房地产开发及商品房销售，商品楼宇的建筑、管理，房屋租赁，建设监理。(二)国内商业、物资供销业。,公司前身系深圳市物业发展公司，1991年10月始进行股份化改组，将原公司部分净资产折为国家股18601.189万股，经同年10月至12月及次年12月首次发行公众股和外资股，上市时总股份25751.189万股；职工股512.6万股于1994年7月11日上市交易。,广东,深圳市,广东省深圳市人民南路国贸大厦39、42层,广东省深圳市人民南路国贸大厦39、42层,518014,0755-82211020,0755-82210610、0755-82212043,000011touzizhe@163.com,www.szwuye.com.cn,房地产业,房地产业,房地产,房地产开发,房地产开发,刘声向,"梅永红,袁鸿昌,李青原",王航军,范维平,0755-82211020,0755-82210610、0755-82212043,000011touzizhe@szwuye.com.cn,钱忠、丁名华,天职国际会计师事务所(特殊普通合伙),
